time,Cache:DOSBytes,Cache:adminBytes,Cache:cacheTotalBytes,Cache:dataAdminBytes,Cache:dataBytes,Cache:lockBytes,Cache:lruDirtySize,Cache:lruMixedSize,Cache:nBINDeltasFetchMiss,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsFetchMissRatio,Cache:nBinDeltaBlindOps,Cache:nBytesEvictedCACHEMODE,Cache:nBytesEvictedCRITICAL,Cache:nBytesEvictedDAEMON,Cache:nBytesEvictedEVICTORTHREAD,Cache:nBytesEvictedMANUAL,Cache:nCachedBINDeltas,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nDirtyNodesEvicted,Cache:nEvictionRuns,Cache:nFullBINsMiss,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsEvicted,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesMovedToDirtyLRU,Cache:nNodesMutated,Cache:nNodesPutBack,Cache:nNodesSkipped,Cache:nNodesStripped,Cache:nNodesTargeted,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointInterval,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:activeLogSize,Cleaning:availableLogSize,Cleaning:maxUtilization,Cleaning:minUtilization,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerDisksReads,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerRuns,Cleaning:nClusterLNsProcessed,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsExpired,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nMarkLNsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRepeatIteratorReads,Cleaning:nRevisalRuns,Cleaning:nToBeCleanedLNsProcessed,Cleaning:nTwoPassRuns,Cleaning:pendingLNQueueSize,Cleaning:protectedLogSize,Cleaning:protectedLogSizeMap,Cleaning:reservedLogSize,Cleaning:totalLogSize,Environment:btreeRelatchesRequired,Environment:environmentCreationTime,Environment:nBinDeltaDelete,Environment:nBinDeltaGet,Environment:nBinDeltaInsert,Environment:nBinDeltaUpdate,I/O:bufferBytes,I/O:endOfLog,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncMaxTime,I/O:nFSyncRequests,I/O:nFSyncTime,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGroupCommitWaits,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nLogIntervalExceeded,I/O:nLogMaxGroupCommitThreshold,I/O:nNoFreeBuffer,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:G1 Old Generation.count,Jvm:G1 Old Generation.time,Jvm:G1 Young Generation.count,Jvm:G1 Young Generation.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,OffHeap:offHeapAllocFailure,OffHeap:offHeapAllocOverflow,OffHeap:offHeapBINsLoaded,OffHeap:offHeapBINsStored,OffHeap:offHeapCachedBINDeltas,OffHeap:offHeapCachedBINs,OffHeap:offHeapCachedLNs,OffHeap:offHeapCriticalNodesTargeted,OffHeap:offHeapDirtyNodesEvicted,OffHeap:offHeapLNsEvicted,OffHeap:offHeapLNsLoaded,OffHeap:offHeapLNsStored,OffHeap:offHeapLruSize,OffHeap:offHeapNodesEvicted,OffHeap:offHeapNodesMutated,OffHeap:offHeapNodesSkipped,OffHeap:offHeapNodesStripped,OffHeap:offHeapNodesTargeted,OffHeap:offHeapThreadUnavailable,OffHeap:offHeapTotalBlocks,OffHeap:offHeapTotalBytes,Op:priDelete,Op:priDeleteFail,Op:priInsert,Op:priInsertFail,Op:priPosition,Op:priSearch,Op:priSearchFail,Op:priUpdate,Op:secDelete,Op:secInsert,Op:secPosition,Op:secSearch,Op:secSearchFail,Op:secUpdate
2022-01-10 07:27:16.840 UTC, ,125,3159725,952,13872, , ,3, ,6, , , , , , , , , ,3,3, , , , ,1,5, , , , , , , , , , , , , , , , ,1218,1,573,573,1, ,2,4,1266,244414353408,51,51, , , , , ,1,12, , , , , , , , , , , , , , , , , , , , , , , , , ,1266, ,1641799632959, , , , ,3145728,1218, , , ,7,4,25,4,3,4, , ,3,5, , , , , , , ,38,1, , ,12288,3,1228,4, , , , , , ,94,746,139363208,1, , , , , , ,7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2022-01-10 07:27:47.332 UTC, ,125,8052573,466696,4906720, , ,111, ,13011, , , , , , , , , ,111,5, , , ,58,1,3, ,12, , , , , , , , , , , , , , ,1038625,2,933205,933778,1,20,29,34,1038676,244412641280,51,51, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1038676, ,1641799632959, , , , ,3145728,1038625, ,75, ,14,5563,21713,5563,2,5563, , ,3,5564, , , , , , , , , , , ,4096,2,1037410,5565, , , ,1, , , , ,223249288,1, , , , , , ,12970, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1928, , ,1, ,57, , , , , , 
2022-01-10 07:27:47.781 UTC, ,125,3179557,1544,33368,336, ,9,3,97,9,0.08, , , , , , ,3,9,4, ,2, ,7,2,9, ,97,16, , , , , , , , , , , , , ,1040046,3, ,1038774, , , , ,1040098,244413304832,-1,-1, , , , , ,127,9671, , , , , , , , , , , , , , , , , , , , , , , , , ,1040098, ,1641799667430, , , , ,3145728,1040046, , ,31,0, , , ,3, , , ,3, , , , ,31,1,2048,1, , , ,1,2186386,296, , , , , , , , ,94,746,244220808,1, , , , , , ,93, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , 
2022-01-10 07:28:47.793 UTC, ,125,8490149,467632,4936952,407344, ,120,20,7378,102,0.01, , , , , , , ,120,14, , ,23,60,4,18, ,9105,9029, , , , , , , , , , , , , ,1051702,9,1704,1049695,6,15,14,35,1051754,244413288448,57,57, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1051754, ,1641799667430, , , , ,3145728,1051702, , ,9155,4,10,38,10,2,10, , ,3,11, , , ,9155,1, , , , , ,39,827373,9196,11656,10, , , , , , ,1,17,209735792,1, , , , , , ,12943, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,13, ,1924,7,13,1, , , , , , 
2022-01-10 07:29:49.517 UTC, ,125,8507757,467840,4954560,407344, ,122, ,1013, , , , , , , , , ,122,16, , , ,61,4,20, ,941, , , , , , , , , , , , , , ,1131122,44,2640,1129577,35,129,26,161,1131174,244413165568,57,57, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1131174, ,1641799667430, , , , ,3145728,1131122, , , ,6,70,269,70, ,70, , ,3,71, , , , ,1, , , , , , , , ,79420,70, , , , , , ,1,41,148259200,5, , , , , , ,1146, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,67, , ,534,73, , , , , , , 
2022-01-10 07:30:52.569 UTC, ,125,8507757,467840,4954560,407344, ,122, , , , , , , , , , , ,122,16, , , ,61,4,20, , , , , , , , , , , , , , , , ,1131122,44,2640,1129577, , , , ,1131174,244291694592,50,50, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1131174, ,1641799667430, , , , ,3145728,1131122, , , ,0, , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , , , ,177619328,53, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2022-01-10 07:32:07.060 UTC, ,125,8507757,467840,4954560,407344, ,122, , , , , , , , , , , ,122,16, , , ,61,4,20, , , , , , , , , , , , , , , , ,1131122,44,2640,1129577, , , , ,1131174,244291694592,50,50, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1131174, ,1641799667430, , , , ,3145728,1131122, , , ,0, , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , , , ,202785152,41, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2022-01-10 07:33:12.108 UTC, ,125,8507757,467840,4954560,407344, ,122, , , , , , , , , , , ,122,16, , , ,61,4,20, , , , , , , , , , , , , , , , ,1131122,44,2640,1129577, , , , ,1131174,244291563520,50,50, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1131174, ,1641799667430, , , , ,3145728,1131122, , , ,0, , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , ,1,56,222887672,34, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2022-01-10 07:35:13.024 UTC, ,125,8507757,467840,4954560,407344, ,122, , , , , , , , , , , ,122,16, , , ,61,4,20, , , , , , , , , , , , , , , , ,1131122,44,2640,1129577, , , , ,1131174,244291559424,50,50, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1131174, ,1641799667430, , , , ,3145728,1131122, , , ,0, , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , ,3,40466,129521664,67, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2022-01-10 07:36:23.612 UTC, ,125,8507757,467840,4954560,407344, ,122, , , , , , , , , , , ,122,16, , , ,61,4,20, , , , , , , , , , , , , , , , ,1131122,44,2640,1129577, , , , ,1131174,244291559424,50,50, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1131174, ,1641799667430, , , , ,3145728,1131122, , , ,0, , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , ,10,4098,140824048,35, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
