time,Cache:DOSBytes,Cache:adminBytes,Cache:cacheTotalBytes,Cache:dataAdminBytes,Cache:dataBytes,Cache:lockBytes,Cache:lruDirtySize,Cache:lruMixedSize,Cache:nBINDeltasFetchMiss,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsFetchMissRatio,Cache:nBinDeltaBlindOps,Cache:nBytesEvictedCACHEMODE,Cache:nBytesEvictedCRITICAL,Cache:nBytesEvictedDAEMON,Cache:nBytesEvictedEVICTORTHREAD,Cache:nBytesEvictedMANUAL,Cache:nCachedBINDeltas,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nDirtyNodesEvicted,Cache:nEvictionRuns,Cache:nFullBINsMiss,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsEvicted,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesMovedToDirtyLRU,Cache:nNodesMutated,Cache:nNodesPutBack,Cache:nNodesSkipped,Cache:nNodesStripped,Cache:nNodesTargeted,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointInterval,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:activeLogSize,Cleaning:availableLogSize,Cleaning:maxUtilization,Cleaning:minUtilization,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerDisksReads,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerRuns,Cleaning:nClusterLNsProcessed,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsExpired,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nMarkLNsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRepeatIteratorReads,Cleaning:nRevisalRuns,Cleaning:nToBeCleanedLNsProcessed,Cleaning:nTwoPassRuns,Cleaning:pendingLNQueueSize,Cleaning:protectedLogSize,Cleaning:protectedLogSizeMap,Cleaning:reservedLogSize,Cleaning:totalLogSize,Environment:btreeRelatchesRequired,Environment:environmentCreationTime,Environment:nBinDeltaDelete,Environment:nBinDeltaGet,Environment:nBinDeltaInsert,Environment:nBinDeltaUpdate,I/O:bufferBytes,I/O:endOfLog,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncMaxTime,I/O:nFSyncRequests,I/O:nFSyncTime,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGroupCommitWaits,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nLogIntervalExceeded,I/O:nLogMaxGroupCommitThreshold,I/O:nNoFreeBuffer,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:G1 Old Generation.count,Jvm:G1 Old Generation.time,Jvm:G1 Young Generation.count,Jvm:G1 Young Generation.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,OffHeap:offHeapAllocFailure,OffHeap:offHeapAllocOverflow,OffHeap:offHeapBINsLoaded,OffHeap:offHeapBINsStored,OffHeap:offHeapCachedBINDeltas,OffHeap:offHeapCachedBINs,OffHeap:offHeapCachedLNs,OffHeap:offHeapCriticalNodesTargeted,OffHeap:offHeapDirtyNodesEvicted,OffHeap:offHeapLNsEvicted,OffHeap:offHeapLNsLoaded,OffHeap:offHeapLNsStored,OffHeap:offHeapLruSize,OffHeap:offHeapNodesEvicted,OffHeap:offHeapNodesMutated,OffHeap:offHeapNodesSkipped,OffHeap:offHeapNodesStripped,OffHeap:offHeapNodesTargeted,OffHeap:offHeapThreadUnavailable,OffHeap:offHeapTotalBlocks,OffHeap:offHeapTotalBytes,Op:priDelete,Op:priDeleteFail,Op:priInsert,Op:priInsertFail,Op:priPosition,Op:priSearch,Op:priSearchFail,Op:priUpdate,Op:secDelete,Op:secInsert,Op:secPosition,Op:secSearch,Op:secSearchFail,Op:secUpdate
2021-09-29 09:03:39.695 UTC, ,125,3159725,952,13872, , ,3, ,6, , , , , , , , , ,3,3, , , , ,1,5, , , , , , , , , , , , , , , , ,1218,1,573,573,1, ,2,4,1266,262934843392,51,51, , , , , ,1,12, , , , , , , , , , , , , , , , , , , , , , , , , ,1266, ,1632906216071, , , , ,3145728,1218, , , ,6,4,13,4,3,4, , ,3,5, , , , , , , ,38,1, , ,12288,3,1228,4, , , , , , ,93,641,104742576,1, , , , , , ,7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2021-09-29 09:03:56.059 UTC, ,125,8053301,466696,4907448, , ,112, ,13012, , , , , , , , , ,112,5, , , ,59,1,3, ,12, , , , , , , , , , , , , , ,1042211,2,941942,942515,1,22,28,33,1042262,262933786624,51,51, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1042262, ,1632906216071, , , , ,3145728,1042211, , , ,10,5563,8589,5563,2,5563, , ,3,5563, , , , , , , , , , , ,4096,2,1040996,5563, , , , , , , , ,191774384,1, , , , , , ,12970, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1928, , ,1, ,57, , , , , , 
2021-09-29 09:03:56.546 UTC, ,125,3180101,1544,33912,336, ,9,3,99,9,0.09, , , , , , ,3,9,4, ,2, ,7,1,10, ,97,17, , , , , , , , , , , , , ,1043632,3, ,1042360, , , , ,1043684,262933790720,-1,-1, , , , , ,128,9675, , , , , , , , , , , , , , , , , , , , , , , , , ,1043684, ,1632906236128, , , , ,3145728,1043632, , ,32,0, , , ,3, , , ,3, , , , ,32,1,2048,1, , , ,1,2205198,300, , , , , , , , ,93,641,213794480,2, , , , , , ,95, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4, , , , , , , , 
2021-09-29 09:04:56.567 UTC, ,125,8490877,467632,4937680,407344, ,121,22,7375,103,0.01, , , , , , , ,121,14, , ,25,61,4,18, ,9104,9028, , , , , , , , , , , , , ,1055290,9,1704,1053283,6,15,14,35,1055342,262933778432,57,57, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1055342, ,1632906236128, , , , ,3145728,1055290, , ,9157,2,10,20,10,2,10, , ,3,11, , , ,9157,1, , , , , ,39,829031,9197,11658,11, , , , , , , , ,388906672,1, , , , , , ,12940, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,13, ,1924,4,13,1, , , , , , 
2021-09-29 09:05:56.582 UTC, ,125,8490877,467632,4937680,407344, ,121, , , , , , , , , , , ,121,14, , , ,61,4,18, , , , , , , , , , , , , , , , ,1055290,9,1704,1053283, , , , ,1055342,262933778432,57,57, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1055342, ,1632906236128, , , , ,3145728,1055290, , , ,0, , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , , , ,389955248, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2021-09-29 09:06:56.593 UTC, ,125,8490877,467632,4937680,407344, ,121, , , , , , , , , , , ,121,14, , , ,61,4,18, , , , , , , , , , , , , , , , ,1055290,9,1704,1053283, , , , ,1055342,262933778432,57,57, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1055342, ,1632906236128, , , , ,3145728,1055290, , , ,0, , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , , , ,391003824, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2021-09-29 09:07:56.608 UTC, ,125,8490877,467632,4937680,407344, ,121, , , , , , , , , , , ,121,14, , , ,61,4,18, , , , , , , , , , , , , , , , ,1055290,9,1704,1053283, , , , ,1055342,262933778432,57,57, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1055342, ,1632906236128, , , , ,3145728,1055290, , , ,0, , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , , , ,392052400, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2021-09-29 09:08:56.621 UTC, ,125,8508541,467840,4955344,407344, ,123, ,1013, , , , , , , , , ,123,16, , , ,62,4,20, ,941, , , , , , , , , , , , , , ,1134758,44,2652,1133213,35,129,26,161,1134810,262933655552,57,57, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1134810, ,1632906236128, , , , ,3145728,1134758, , , ,10,70,162,70, ,70, , ,3,72, , , , ,1, , , , , , , , ,79468,70, , , , , , ,1,51,327758336, , , , , , , ,1146, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,67, , ,534,73, , , , , , , 
2021-09-29 09:09:56.631 UTC, ,125,8508541,467840,4955344,407344, ,123, , , , , , , , , , , ,123,16, , , ,62,4,20, , , , , , , , , , , , , , , , ,1134758,44,2652,1133213, , , , ,1134810,262933651456,50,50, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1134810, ,1632906236128, , , , ,3145728,1134758, , , ,0, , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , ,3,38,436844704, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2021-09-29 09:10:56.640 UTC, ,125,8508541,467840,4955344,407344, ,123, , , , , , , , , , , ,123,16, , , ,62,4,20, , , , , , , , , , , , , , , , ,1134758,44,2652,1133213, , , , ,1134810,262933651456,50,50, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1134810, ,1632906236128, , , , ,3145728,1134758, , , ,0, , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , ,3,29,218084880, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
